Causative,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Entire,254.4,243.6,255.1,259.6,278.9,273.4,277.5,294,302.5,313.4
__Cancer disease__,139.5,140.5,144.4,142.8,146.5,149,150.9,150.8,153,153.9
cancer of the stomach,20.9,20.4,20.1,19.4,18.6,18.2,17.6,16.7,16.2,15.7
liver cancer,22.9,22.6,22.5,21.8,22.5,22.6,22.8,22.2,21.5,20.9
lung cancer,29.9,30,31.3,31.7,33.1,34,34.4,34.1,35.1,35.1
__Endocrine disease__,22.4,21.3,22.3,23.4,24.9,23.4,22.9,22.9,21.6,20.6
diabetes,20.7,19.6,20.7,21.5,23,21.5,20.7,20.7,19.2,17.9
__Circulatory disease__,112.3,109.2,112.5,113.5,117.1,113.1,113.9,116.9,118.1,119.6
hypertensive,9.6,9.6,9.6,10.1,10.4,9.4,10,9.9,10.6,11.3
heart,43.4,45,46.9,49.8,52.5,50.2,52.4,55.6,58.2,60.2
cerebrovascular,56.5,52,53.2,50.7,51.1,50.3,48.2,48,45.8,44.4
__Respiratory disease__,32.4,34.3,37.1,39.8,45.2,44.5,47.6,54.6,57.5,63.7
pneumonia,11.1,12.7,14.9,17.2,20.5,21.4,23.7,28.9,32.2,37.8
chronic dysplasia,14.9,13.9,14.2,13.9,15.6,14,14.1,14.8,13.7,13.2
__Digestive disease__,21.8,21.5,22.2,22.2,22.4,22.1,22.4,23,23.4,23.7
liver,14.5,13.8,13.8,13.5,13.5,13.2,13.1,13.4,13.3,13.3
